iter	Passed	Remaining
627	10411	6167
628	10427	6150
629	10443	6133
630	10460	6117
631	10476	6100
632	10492	6083
633	10507	6066
634	10524	6049
635	10539	6031
636	10554	6014
637	10571	5998
638	10587	5981
639	10603	5964
640	10620	5948
641	10636	5931
642	10653	5914
643	10668	5897
644	10685	5880
645	10700	5863
646	10717	5847
647	10732	5829
648	10747	5812
649	10762	5794
650	10777	5778
651	10796	5762
652	10811	5744
653	10826	5727
654	10842	5710
655	10858	5693
656	10873	5676
657	10890	5660
658	10906	5643
659	10921	5625
660	10936	5608
661	10950	5591
662	10966	5573
663	10981	5556
664	10996	5539
665	11012	5522
666	11028	5505
667	11044	5489
668	11059	5472
669	11076	5455
670	11092	5438
671	11106	5421
672	11122	5404
673	11139	5387
674	11158	5372
675	11175	5356
676	11193	5340
677	11209	5323
678	11224	5306
679	11240	5289
680	11258	5273
681	11274	5257
682	11290	5240
683	11306	5223
684	11322	5206
685	11338	5189
686	11355	5173
687	11372	5157
688	11388	5140
689	11405	5124
690	11420	5106
691	11435	5089
692	11452	5073
693	11470	5057
694	11485	5040
695	11502	5024
696	11517	5007
697	11532	4989
698	11547	4972
699	11564	4956
700	11581	4939
701	11596	4922
702	11613	4906
703	11630	4890
704	11647	4873
705	11663	4856
706	11678	4839
707	11694	4823
708	11711	4806
709	11727	4789
710	11742	4773
711	11759	4756
712	11778	4741
713	11793	4724
714	11808	4706
715	11824	4690
716	11840	4673
717	11855	4656
718	11871	4639
719	11888	4623
720	11903	4606
721	11919	4589
722	11935	4572
723	11950	4555
724	11966	4539
725	11983	4522
726	11998	4505
727	12012	4488
728	12028	4471
729	12044	4454
730	12059	4437
731	12075	4421
732	12090	4403
733	12106	4387
734	12122	4370
735	12139	4354
736	12155	4337
737	12171	4321
738	12187	4304
739	12203	4287
740	12219	4271
741	12234	4253
742	12249	4236
743	12266	4220
744	12284	4204
745	12303	4189
746	12321	4173
747	12338	4156
748	12357	4141
749	12376	4125
750	12392	4108
751	12409	4092
752	12427	4076
753	12443	4059
754	12460	4043
755	12477	4027
756	12494	4010
757	12513	3995
758	12530	3978
759	12545	3961
760	12563	3945
761	12579	3929
762	12595	3912
763	12611	3895
764	12629	3879
765	12645	3862
766	12661	3846
767	12676	3829
768	12692	3812
769	12707	3795
770	12723	3779
771	12739	3762
772	12755	3745
773	12775	3730
774	12790	3713
775	12807	3696
776	12823	3680
777	12841	3664
778	12859	3648
779	12875	3631
780	12892	3615
781	12907	3598
782	12924	3581
783	12940	3565
784	12956	3548
785	12971	3531
786	12987	3515
787	13002	3498
788	13018	3481
789	13034	3464
790	13050	3448
791	13066	3431
792	13085	3415
793	13102	3399
794	13117	3382
795	13133	3365
796	13148	3349
797	13166	3332
798	13183	3316
799	13201	3300
800	13218	3284
801	13237	3267
802	13253	3251
803	13269	3234
804	13285	3218
805	13301	3201
806	13320	3185
807	13336	3169
808	13352	3152
809	13369	3136
810	13386	3119
811	13402	3103
812	13420	3086
813	13435	3070
814	13450	3053
815	13465	3036
816	13480	3019
817	13497	3003
818	13513	2986
819	13529	2969
820	13545	2953
821	13560	2936
822	13576	2919
823	13591	2902
824	13606	2886
825	13623	2869
826	13641	2853
827	13657	2837
828	13674	2820
829	13689	2803
830	13704	2787
831	13718	2770
832	13734	2753
833	13749	2736
834	13768	2720
835	13784	2704
836	13798	2687
837	13815	2670
838	13831	2654
839	13846	2637
840	13885	2625
841	13922	2612
842	13948	2597
843	13971	2582
844	13986	2565
845	14000	2548
846	14016	2531
847	14032	2515
848	14049	2498
849	14064	2481
850	14080	2465
851	14095	2448
852	14112	2431
853	14128	2415
854	14143	2398
855	14160	2382
856	14176	2365
857	14193	2349
858	14209	2332
859	14224	2315
860	14240	2298
861	14256	2282
862	14273	2265
863	14289	2249
864	14303	2232
865	14319	2215
866	14336	2199
867	14352	2182
868	14367	2165
869	14383	2149
870	14398	2132
871	14413	2115
872	14428	2098
873	14445	2082
874	14461	2065
875	14477	2049
876	14493	2032
877	14510	2016
878	14525	1999
879	14541	1982
880	14556	1966
881	14571	1949
882	14587	1932
883	14602	1916
884	14619	1899
885	14634	1883
886	14651	1866
887	14669	1850
888	14686	1833
889	14702	1817
890	14719	1800
891	14735	1784
892	14755	1767
893	14772	1751
894	14790	1735
895	14809	1718
896	14827	1702
897	14844	1686
898	14861	1669
899	14877	1653
900	14893	1636
901	14910	1620
902	14929	1603
903	14944	1587
904	14960	1570
905	14978	1554
906	14993	1537
907	15011	1520
908	15027	1504
909	15045	1487
910	15060	1471
911	15077	1454
912	15093	1438
913	15109	1421
914	15124	1405
915	15140	1388
916	15155	1371
917	15172	1355
918	15187	1338
919	15204	1322
920	15220	1305
921	15237	1289
922	15254	1272
923	15272	1256
924	15291	1239
925	15311	1223
926	15330	1207
927	15345	1190
928	15362	1174
929	15378	1157
930	15395	1141
931	15410	1124
932	15425	1107
933	15440	1091
934	15456	1074
935	15473	1058
936	15490	1041
937	15507	1024
938	15522	1008
939	15539	991
940	15553	975
941	15569	958
942	15584	942
943	15601	925
944	15617	908
945	15634	892
946	15649	875
947	15666	859
948	15682	842
949	15698	826
950	15714	809
951	15730	793
952	15750	776
953	15765	760
954	15782	743
955	15798	727
956	15814	710
957	15831	694
958	15847	677
959	15864	661
960	15881	644
961	15899	628
962	15917	611
963	15933	595
964	15949	578
965	15966	561
966	15982	545
967	15997	528
968	16012	512
969	16027	495
970	16043	479
971	16059	462
972	16076	446
973	16093	429
974	16111	413
975	16126	396
976	16143	380
977	16158	363
978	16175	346
979	16190	330
980	16207	313
981	16222	297
982	16238	280
983	16255	264
984	16273	247
985	16290	231
986	16307	214
987	16325	198
988	16341	181
989	16359	165
990	16375	148
991	16391	132
992	16407	115
993	16423	99
994	16439	82
995	16456	66
996	16471	49
997	16486	33
998	16503	16
999	16519	0
